opis_id,name,address,city,state,lat,lon,price
70019,QUICKLEES #1,"I-390, EXIT 9 & SR-15",Avon,NY,42.912842,-77.746490,3.999000
20033,LOVES TRAVEL STOP #772,"I-86 & SR-17, EXIT 37",Bath,NY,42.336093,-77.316860,4.489000
66995,PILOT TRAVEL CENTERS #322,"I-86, EXIT 37",Bath,NY,42.336093,-77.316860,4.499000
4655,QUICKLEES TRAVEL CENTER,"I-86, EXIT 30 & CR-20",Belmont,NY,42.219371,-78.030899,3.999000
4654,7-ELEVEN #35087,"I-490, EXIT 2 & SR-33 & SR-19",Bergen,NY,43.082601,-77.942458,4.029000
63727,LOVES TRAVEL STOP #403,"I-81, EXIT 3",Binghamton,NY,42.101331,-75.909369,3.709000
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,42.101331,-75.909369,3.724000
70448,CIRCLE K #4707623,"I-81, EXIT 31",Brewerton,NY,43.232432,-76.144820,4.089000
72282,SUNOCO,I-278 Exit 48,Bronx,NY,40.848711,-73.852939,4.539000
68542,EXCELL FUELS,SR-5,Buffalo,NY,42.892492,-78.859686,3.999000
7179,JIMS TRUCK PLAZA,"I-90, EXIT 52E",Buffalo,NY,42.892492,-78.859686,3.729000
69218,DANDY MINI MART #58,"I-86, EXIT 41 & US-17/15",Campbell,NY,42.235043,-77.193694,3.949000
69670,LOVES TRAVEL STOP #611,"I-90, EXIT B3 & SR-22",Canaan,NY,42.403004,-73.456777,3.984000
7212,ONVO TRAVEL PLAZA,"I-90 & RTE 22, EXIT B-3",Canaan,NY,42.403004,-73.456777,3.419000
66238,BETTY BEAVERS TRUCKSTOP,"I- 90, EXIT 29",Canajoharie,NY,42.899080,-74.567869,3.599000
72763,FASTRAC MARKET #500270,SR-5/SR-13,Canastota,NY,43.084149,-75.755495,4.399000
68174,MIRABITO #42,"I-81, EXIT 7",Castle Creek,NY,42.227575,-75.918253,3.999000
67057,PILOT TRAVEL CENTERS #146,"I-90, EXIT 12",Castleton On Hudson,NY,42.536568,-73.747924,3.999000
64216,DANDY MINI MART #31,SR-13 & SR-224,Cayuta,NY,42.265385,-76.676669,4.399000
3326,MIRABITO #61,"I-81, EXIT 32",Central Square,NY,43.285986,-76.141879,4.299000
71969,BORDERVIEW GROCERY,US-11 & CR-19,Champlain,NY,44.988261,-73.432406,3.799000
65373,CHAMPLAIN PETERBILT FUEL MART,"I-87, EXIT 43",Champlain,NY,44.988261,-73.432406,3.799000
67294,MAPLEFIELDS,"I-87, EXIT 42/SR-11",Champlain,NY,44.988261,-73.432406,3.799000
3118,MOBIL,"I-87, EXIT 42 & US-11",Champlain,NY,44.988261,-73.432406,3.799000
69182,XtraMart #1513,"I-87, EXIT 10 & US-9",Clifton Park,NY,42.858993,-73.822974,3.899000
70483,BOLLA MARKET,SR-27 & CR-47,Copiague,NY,40.670358,-73.392761,3.419000
63409,FLYING J TRAVEL PLAZA #693,"I-90, EXIT 48A; PEMBROKE, NY",Corfu,NY,42.961163,-78.402610,3.889000
71494,SPEEDWAY/7FLEET #7008,"I-90, EXIT 48A & SR-77",Corfu,NY,42.961163,-78.402610,3.889000
4223,TA PEMBROKE TRAVEL CENTER,"I-90, EXIT 48A",Corfu,NY,42.961163,-78.402610,3.874000
9971,TA DANSVILLE TRAVEL CENTER,"I-390 & COMMERCE, EXIT 5",Dansville,NY,42.562482,-77.696927,4.499000
66948,CIRCLE K #4707618,"I-481, EXIT 8 & CR-82",East Syracuse,NY,43.063823,-76.069789,3.799000
71163,DANDY MINI MART #68,"I-86/SR-17, EXIT 51A & CR-64",Elmira,NY,42.093388,-76.809610,3.899000
52112,SROKAS SERVICE CENTER,SR-149,Fort Ann,NY,43.415731,-73.490513,3.899000
7282,ALLTOWN FRESH,"I-87, EXIT 17N & US-9",Fort Edward,NY,43.268618,-73.582617,3.769000
1669,BETTY BEAVERS TRUCKSTOP,"I-90, EXIT 28",Fultonville,NY,42.946229,-74.369778,3.169000
4568,ONVO TRAVEL PLAZA,"I-90, EXIT 28",Fultonville,NY,42.946229,-74.369778,3.179000
71562,PILOT #1317,I-90 EXIT 28,Fultonville,NY,42.946229,-74.369778,3.999000
7215,TA FULTONVILLE TRAVEL CENTER,"I-90, EXIT 28",Fultonville,NY,42.946229,-74.369778,4.039000
62850,GANSEVOORT MINI MART,"I-87, EXIT 17",Gansevoort,NY,43.196205,-73.651397,3.769000
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort,NY,43.196205,-73.651397,3.774000
7220,CUMBERLAND FARMS #001662,US-9W/SR-32,Glenmont,NY,42.604802,-73.769566,3.774000
65377,PETROL 9 W,US-9W,Glenmont,NY,42.604802,-73.769566,3.699000
65379,MIRABITO #74,"SR-79 N/I-88E, EXIT 6",Harpursville,NY,42.178412,-75.624630,4.659000
66184,HENRIETTA TRUCK STOP,"I-390, EXIT 12 & I-90, EXIT 46",Henrietta,NY,43.054316,-77.640078,3.899000
3702,BEARS DEN TRADING POST #101,ST 37 11 MI E OF MASSENA,Hogansburg,NY,44.973936,-74.663242,3.649000
68692,DANDY MINI MART #57,SR-14,Horseheads,NY,42.168632,-76.829658,3.899000
71080,BIG INDIAN SMOKE SHOP,I-90 & US-20,Irving,NY,42.567559,-79.112817,2.979000
1560,CATTREZ,US-20 & SR-5,Irving,NY,42.567559,-79.112817,2.949000
65381,NATIVE PRIDE,"I-90, EXIT 58 & US-20",Irving,NY,42.567559,-79.112817,2.949000
7213,SENECA ONE STOP,"I-90, EXIT 58",Irving,NY,42.567559,-79.112817,2.949000
70407,BOLLA MARKET,"I-495, EXIT 57",Islandia,NY,40.806862,-73.171084,3.592333
66565,KWIK FILL #395,"I-86, EXIT 12",Jamestown,NY,42.097603,-79.236135,4.484000
